Jaagsiekteヒツジレトロウイルス	Jaagsiekte sheep retrovirus
起立時振戦	Orthostatic tremor
超音波療法	Ultrasound therapy
足底筋膜炎	Plantar fasciitis
足根三角骨	Os trigonum
足根管除圧	Tarsal tunnel decompression
足脈拍増加	Pedal pulse increased
足脈拍減少	Pedal pulse decreased
足脈拍異常	Pedal pulse abnormal
足関節変形	Ankle deformity
足関節形成	Ankle arthroplasty
足関節手術	Ankle operation
身体症状症	Somatic symptom disorder
身体的暴行	Physical assault
身体的虐待	Physical abuse
身体的診察	Physical examination
身体障害者	Physical disability
軟性下疳菌	Haemophilus ducreyi
軟骨新生物	Cartilage neoplasm
転換性障害	Conversion disorder
輪状後部癌	Postcricoid cancer
輸血後肝炎	Hepatitis post transfusion
逆流性胃炎	Reflux gastritis
逆流性腎症	Reflux nephropathy
逆睫毛除去	Ingrown eyelash removal
逆行性健忘	Retrograde amnesia
逆行性月経	Retrograde menstruation
逆説的乾癬	Paradoxical psoriasis
透析低血圧	Dialysis hypotension
透析膜反応	Dialysis membrane reaction
造影剤反応	Contrast media reaction
造影剤毒性	Contrast media toxicity
造影剤沈着	Contrast media deposition
造影剤脳症	Contrast encephalopathy
進行睡眠期	Advanced sleep phase
遅延睡眠期	Delayed sleep phase
遅発性喘息	Asthma late onset
遅発性発作	Tardive seizure
遊走性紅斑	Erythema migrans
遊離体除去	Loose body removal
遊離脂肪酸	Free fatty acids
運動性低下	Mobility decreased
過激な運動	Excessive exercise
適度な運動	Exercise adequate
適応外使用	Off label use
適用部位斑	Application site macule
適用部位臭	Application site odour
遺伝子変異	Gene mutation
遺伝子治療	Gene therapy
遺伝性膵炎	Hereditary pancreatitis
遺伝性障害	Hereditary disorder
遺伝的多型	Genetic polymorphism
遺残虫垂炎	Stump appendicitis
酢酸不耐症	Acetate intolerance
酵母-パン	Saccharomyces cerevisiae
酵母-分裂	Schizosaccharomyces
酸塩基平衡	Acid base balance
酸溶血試験	Acid haemolysin test
酸素化指数	Oxygenation index
酸素消費量	Oxygen consumption
酸素飽和度	Oxygen saturation
里吉症候群	Satoyoshi syndrome
重力性浮腫	Gravitational oedema
重金属増加	Heavy metal increased
重金属検査	Heavy metal test
重金属正常	Heavy metal normal
重金属減少	Heavy metal decreased
重金属異常	Heavy metal abnormal
鉄代謝障害	Iron metabolism disorder
銅代謝障害	Copper metabolism disorder
錯乱性覚醒	Confusional arousal
鎖骨上窩痛	Supraclavicular fossa pain
鎮痛剤濃度	Analgesic drug level
鎮静合併症	Sedation complication
門脈塞栓症	Portal vein embolism
門脈塞栓術	Portal vein embolisation
門脈線維症	Portal fibrosis
門脈膿血症	Portal pyaemia
門脈血栓症	Portal vein thrombosis
閉塞性排便	Obstructive defaecation
閉塞性腎症	Obstructive nephropathy
閉塞性膵炎	Obstructive pancreatitis
閉経後出血	Postmenopausal haemorrhage
閉経期ざ瘡	Menopausal acne
閉経期症状	Menopausal symptoms
閉経期障害	Menopausal disorder
間代性痙攣	Clonic convulsion
間欠性跛行	Intermittent claudication
間脳症候群	Diencephalic syndrome
関節ロック	Joint lock
関節不安定	Joint instability
関節包断裂	Joint capsule rupture
関節安定化	Joint stabilisation
関節新生物	Joint neoplasm
関節板障害	Articular disc disorder
関節沈着物	Joint deposit
関節滲出液	Joint effusion
関節石灰化	Articular calcification
関節過伸展	Joint hyperextension
関節面再建	Joint resurfacing surgery
限局性感染	Localised infection
限局性浮腫	Localised oedema
限局性筋炎	Focal myositis
除皮質姿勢	Decorticate posture
陰嚢の炎症	Scrotal inflammation
陰嚢びらん	Scrotum erosion
陰嚢不快感	Scrotal discomfort
陰嚢皮膚炎	Scrotal dermatitis
陰嚢蜂巣炎	Scrotal cellulitis
陰茎びらん	Penile erosion
陰茎不快感	Penile discomfort
陰茎再接合	Penis reattachment
陰茎分泌物	Penile discharge
陰茎弯曲症	Penile curvature
陰茎形成術	Penile modelling procedure
陰茎新生物	Penile neoplasm
陰茎灼熱感	Penile burning sensation
陰茎異形成	Penile dysplasia
陰茎皮膚炎	Penile dermatitis
陰茎血管腫	Penile haemangioma
陶器様胆嚢	Porcelain gallbladder
随伴性肺炎	Paracancerous pneumonia
集簇性ざ瘡	Acne conglobata
離脱症候群	Withdrawal syndrome
電撃性ざ瘡	Acne fulminans
電解質低下	Electrolyte depletion
電解質失調	Electrolyte imbalance
青色白内障	Cerulean cataract
静的肺活量	Slow vital capacity
静脈内流入	Venous intravasation
静脈再狭窄	Venous restenosis
静脈再疎通	Venous recanalisation
静脈動脈化	Venous arterialisation
静脈圧上昇	Venous pressure increased
静脈圧低下	Venous pressure decreased
静脈圧正常	Venous pressure normal
静脈圧異常	Venous pressure abnormal
静脈塞栓症	Embolism venous
静脈壁肥厚	Vein wall hypertrophy
静脈弁破裂	Venous valve ruptured
静脈拡張症	Varicose vein
静脈瘤手術	Varicose vein operation
静脈瘤破裂	Varicose vein ruptured
静脈血栓症	Venous thrombosis
非定型骨折	Atypical fracture
非対称殿溝	Asymmetric gluteal fold
非特異反応	Nonspecific reaction
非経口栄養	Parenteral nutrition
靱帯石灰化	Ligament calcification
頚動脈不全	Carotid artery insufficiency
頚動脈塞栓	Carotid arterial embolus
頚動脈形成	Carotid angioplasty
頚動脈狭窄	Carotid artery stenosis
頚動脈疾患	Carotid artery disease
頚動脈穿孔	Carotid artery perforation
頚動脈脈拍	Carotid pulse
頚動脈解離	Carotid artery dissection
頚動脈造影	Arteriogram carotid
頚動脈閉塞	Carotid artery occlusion
頚動脈雑音	Carotid bruit
頚原性頭痛	Cervicogenic headache
頚管無力症	Cervical incompetence
頚腕症候群	Cervicobrachial syndrome
頚部の圧挫	Neck crushing
頚部郭清術	Neck dissection
頚静脈出血	Jugular vein haemorrhage
頚静脈拡張	Jugular vein distension
頚静脈閉塞	Jugular vein occlusion
頬ポリープ	Buccal polyp
頬舌症候群	Buccoglossal syndrome
頬部スミア	Smear buccal
頬部形成術	Cheek augmentation
頭位性短頭	Postural brachycephaly
頭蓋内出血	Haemorrhage intracranial
頭蓋内感染	Intracranial infection
頭蓋内腫瘤	Intracranial mass
頭蓋内血腫	Intracranial haematoma
頭蓋底再建	Cranial base reconstruction
頭蓋底腫瘍	Skull base tumour
頭蓋底骨折	Skull fractured base
頭蓋筋膜炎	Cranial fasciitis
頭蓋骨骨折	Skull fracture
頭部不快感	Head discomfort
顆粒球異常	Granulocytes abnormal
顆粒細胞腫	Granular cell tumour
顎下腺腫大	Submaxillary gland enlargement
顎関節強直	Temporomandibular joint ankylosis
顎関節手術	Temporomandibular joint surgery
顎顔面手術	Maxillofacial operation
顔面の圧挫	Face crushing
顔面不快感	Facial discomfort
顔面神経炎	Facial nerve neuritis
顔面除皺術	Face lift
顔面非対称	Facial asymmetry
類上皮肉腫	Epithelioid sarcoma
風疹状皮疹	Rash rubelliform
食後低血圧	Postprandial hypotension
食後低血糖	Postprandial hypoglycaemia
食物不耐性	Food intolerance
食道不快感	Oesophageal discomfort
食道乳頭腫	Oesophageal papilloma
食道壁肥厚	Oesophageal wall hypertrophy
食道憩室炎	Diverticulitis oesophageal
食道拡張術	Oesophageal dilation procedure
食道新生物	Oesophageal neoplasm
食道異形成	Oesophageal dysplasia
食道瘻修復	Oesophageal fistula repair
食道白斑症	Leukoplakia oesophageal
食道線維症	Oesophageal fibrosis
食道縦隔瘻	Oesophagomediastinal fistula
食道胸腔瘻	Oesophagopleural fistula
食道過角化	Oesophageal hyperkeratosis
食道閉塞症	Oesophageal obstruction
食道静脈瘤	Varices oesophageal
香料過敏症	Perfume sensitivity
馬尾症候群	Cauda equina syndrome
駆出率正常	Ejection fraction normal
駆出率減少	Ejection fraction decreased
駆出率異常	Ejection fraction abnormal
骨の分断化	Bone fragmentation
骨クリーゼ	Bone crisis
骨スキャン	Bone scan
骨代謝障害	Bone metabolism disorder
骨内血管腫	Intraosseous angioma
骨内髄膜腫	Intraosseous meningioma
骨吸収亢進	Resorption bone increased
骨吸収低下	Resorption bone decreased
骨吸収試験	Bone resorption test
骨嚢腫切除	Bone cyst excision
骨外性骨化	Extraskeletal ossification
骨密度増加	Bone density increased
骨密度減少	Bone density decreased
骨密度異常	Bone density abnormal
骨幹端骨折	Metaphyseal corner fracture
骨形成亢進	Bone formation increased
骨形成低下	Bone formation decreased
骨形成試験	Bone formation test
骨成長刺激	Bone growth stimulation
骨格筋梅毒	Syphilis musculoskeletal
骨格筋酵素	Skeletal muscle enzymes
骨生検正常	Biopsy bone normal
骨生検異常	Biopsy bone abnormal
骨疾患治療	Osteopathic treatment
骨発育異常	Bone development abnormal
骨盤不快感	Pelvic discomfort
骨盤位分娩	Breech delivery
骨盤位牽出	Breech extraction
骨盤内出血	Pelvic haemorrhage
骨盤内嚢胞	Pelvic cyst
骨盤内感染	Pelvic infection
骨盤嚢造設	Pelvic pouch procedure
骨盤底修復	Pelvic floor repair
骨盤新生物	Pelvic neoplasm
骨盤液貯留	Pelvic fluid collection
骨盤癒着症	Pelvic adhesions
骨盤線維症	Pelvic fibrosis
骨盤静脈瘤	Varicose veins pelvic
骨盤骨損傷	Pelvic bone injury
骨膜下膿瘍	Subperiosteal abscess
骨色素過剰	Bone hyperpigmentation
骨軟骨欠損	Osteochondral defects
骨軟骨骨折	Osteochondral fracture
骨髄提供者	Bone marrow donor
骨髄様化生	Myeloid metaplasia
骨髄球存在	Myelocyte present
骨髄肉芽腫	Bone marrow granuloma
骨髄芽球数	Myeloblast count
骨髄過形成	Marrow hyperplasia
髄腔内注射	Intrathecal injection
髄膜新生物	Meningeal neoplasm
髄膜瘤修復	Meningocele repair
髄膜腫手術	Meningioma surgery
髄鞘内浮腫	Intramyelinic oedema
髄鞘化遅延	Delayed myelination
高年初妊婦	Elderly primigravida
鬚髯毛包炎	Folliculitis barbae
鰓弓症候群	Branchiogenic syndrome
鹿角状結石	Stag horn calculus
麻疹後失明	Post measles blindness
麻疹性肺炎	Pneumonia measles
麻疹様発疹	Rash morbilliform
麻痺性兎眼	Paralytic lagophthalmos
麻酔前投薬	Anaesthetic premedication
麻酔合併症	Anaesthetic complication
黄斑低形成	Macular hypoplasia
黄斑偽円孔	Macular pseudohole
黄斑線維症	Macular fibrosis
黄斑部混濁	Macular opacity
黄斑部瘢痕	Macular scar
黒色表皮腫	Acanthosis nigricans
鼓室内注入	Intratympanic injection
鼓室髄膜裂	Tympanomeningeal fissure
鼡径肉芽腫	Granuloma inguinale
鼡径部感染	Groin infection
鼡径部腫瘤	Inguinal mass
鼡径部膿瘍	Groin abscess
鼻そう痒症	Nasal pruritus
鼻の横じわ	Nasal crease
鼻ヘルペス	Nasal herpes
鼻中隔弯曲	Nasal septum deviation
鼻中隔手術	Nasal septal operation
鼻中隔潰瘍	Nasal septum ulceration
鼻中隔穿孔	Nasal septum perforation
鼻中隔血腫	Nasal septum haematoma
鼻中隔障害	Nasal septum disorder
鼻咽腔閉鎖	Nasopharyngeal atresia
鼻唇溝消失	Decreased nasolabial fold
鼻嚢胞切除	Nasal cyst removal
鼻甲介異常	Nasal turbinate abnormality
鼻甲介肥大	Nasal turbinate hypertrophy
鼻疽菌感染	Burkholderia mallei infection
鼻粘膜変色	Nasal mucosal discolouration
鼻粘膜潰瘍	Nasal mucosal ulcer
鼻粘膜生検	Nasal mucosa biopsy
鼻粘膜肥厚	Nasal mucosal hypertrophy
鼻粘膜萎縮	Nasal mucosa atrophy
鼻粘膜障害	Nasal mucosal disorder
鼻腔内瘢痕	Intranasal scarring
鼻部不快感	Nasal discomfort
Ｒｈ不適合	Rhesus incompatibility
いちご舌	Strawberry tongue
こうじ菌	Aspergillus oryzae
ろう屈症	Waxy flexibility
アブラナ	Brassica rapa
イタドリ	Fallopia japonica
イチョウ	Ginkgo biloba
イヌ回虫	Toxocara canis
イノシシ	Sus scrofa
イノンド	Anethum graveolens
ウコギ属	Eleutherococcus
ウシ結核	Bovine tuberculosis
オレンジ	Citrus sinensis
カゼイ菌	Lacticaseibacillus casei
ガス中毒	Gas poisoning
ガス壊疽	Gas gangrene
キアリ網	Chiari network
キシレラ	Xylella
キュウリ	Cucumis sativus
キンゲラ	Kingella
ギンザケ	Oncorhynchus kisutch
クスノキ	Cinnamomum camphora
クロレラ	Chlorella
ケトン食	Ketogenic diet
コア減圧	Core decompression
コカイン	Cocaine
コショウ	Piper nigrum
コレラ菌	Vibrio cholerae
コロハ属	Trigonella
ショウガ	Zingiber officinale
ジベレラ	Gibberella
センダン	Melia azedarach
ソラマメ	Vicia faba
タンジン	Salvia miltiorrhiza
ダニ除去	Tick removal
ダニ麻痺	Tick paralysis
チコリー	Cichorium intybus
チフス菌	Salmonella typhi
チモテ菌	Mycobacterium phlei
チャノキ	Camellia sinensis
チリダニ	Dermatophagoides sp House dust mite IgE Ab
デング熱	Dengue fever
ナズナ属	Capsella
ニジマス	Oncorhynchus mykiss
ニンジン	Daucus carota
ノミ寄生	Flea infestation
ヒゲカビ	Phycomyces
ブタ回虫	Ascaris suum
ブルセラ	Brucella
ペスト菌	Yersinia pestis
ページ腎	Page kidney
ホウキギ	Bassia scoparia
ボタン熱	Boutonneuse fever
マズレラ	Madurella
モリテラ	Moritella
ヤウポン	Ilex vomitoria
ヤドリギ	Viscum album
ライム病	Lyme disease
ラッサ熱	Lassa fever
ラーネラ	Rahnella
リンパ瘻	Lymphatic fistula
一次伝播	Primary transmission
万華鏡視	Kaleidoscope vision
上咽頭癌	Nasopharyngeal cancer
上肢骨折	Upper limb fracture
上腹部痛	Abdominal pain upper
下咽頭癌	Hypopharyngeal cancer
下痢予防	Prophylaxis against diarrhoea
下肢切断	Leg amputation
下肢骨折	Lower limb fracture
下腹部痛	Abdominal pain lower
下顎腫瘤	Mandibular mass
不全流産	Abortion incomplete
不安障害	Anxiety disorder
両耳難聴	Deafness bilateral
中和抗体	Neutralising antibodies
中咽頭癌	Oropharyngeal cancer
乗物酔い	Motion sickness
乳び指数	Lipaemic index score
乳児下痢	Infantile diarrhoea
乳児仙痛	Infantile colic
乳児吐出	Infantile spitting up
乳児嘔吐	Infantile vomiting
乳児湿疹	Eczema infantile
乳児鎮静	Infant sedation
乳房出血	Breast haemorrhage
乳房分泌	Breast discharge
乳房嚢胞	Breast cyst
乳房圧痛	Breast tenderness
乳房壊死	Breast necrosis
乳房変色	Breast discolouration
乳房奇形	Breast malformation
乳房形成	Breast reconstruction
乳房手術	Breast operation
乳房損傷	Breast injury
乳房欠損	Breast absent
乳房浮腫	Breast oedema
乳房炎症	Breast inflammation
乳房生検	Biopsy breast
乳房硬結	Breast induration
乳房肉腫	Breast sarcoma
乳房腫大	Breast enlargement
乳房腫瘤	Breast mass
乳房腫脹	Breast swelling
乳房膿瘍	Breast abscess
乳房萎縮	Breast atrophy
乳房血腫	Breast haematoma
乳房障害	Breast disorder
乳状血清	Lactescent serum
乳管切除	Mammary ductectomy
乳腺結核	Mammary tuberculosis
乳腺腺腫	Breast adenoma
乳酸桿菌	Lactobacillus
乳頭切除	Nipple resection
乳頭感染	Nipple infection
乳頭浮腫	Nipple oedema
乳頭肥大	Nipple enlargement
乳頭腫脹	Nipple swelling
乳頭障害	Nipple disorder
乾性壊疽	Dry gangrene
予後不良	Poor prognosis
予期不安	Anticipatory anxiety
予防手術	Preventive surgery
二分尿管	Bifid ureter
二分脊椎	Spina bifida
二次伝播	Secondary transmission
二重胎盤	Placenta duplex
亜硝酸菌	Nitrosomonas
亜鉛欠乏	Zinc deficiency
交換輸血	Exchange blood transfusion
交通事故	Road traffic accident
人工授精	Artificial insemination
人工流産	Abortion induced
人格変化	Personality change
介助分娩	Assisted delivery
介助自殺	Assisted suicide
仙骨骨折	Fractured sacrum
代謝障害	Metabolic disorder
企図振戦	Intention tremor
会話障害	Speech disorder
会陰刺激	Perineum stimulation
会陰嚢胞	Perineal cyst
会陰壊死	Perineal necrosis
会陰感染	Perineal infection
会陰手術	Perineal operation
会陰損傷	Perineal injury
会陰潰瘍	Perineal ulceration
会陰発疹	Perineal rash
会陰硬結	Perineal induration
会陰紅斑	Perineal erythema
会陰腫脹	Perineal swelling
会陰膿瘍	Perineal abscess
会陰血腫	Perineal haematoma
会陰障害	Perineal disorder
伝導障害	Conduction disorder
伝音難聴	Conductive deafness
低体温法	Therapeutic hypothermia
低温損傷	Cold burn
体位療法	Positional therapy
体内異物	Foreign body
体外受精	In vitro fertilisation
体外循環	Extracorporeal circulation
体幹損傷	Trunk injury
体感幻覚	Somatic hallucination
体液検査	Body fluid analysis
体液貯留	Fluid retention
体温低下	Body temperature decreased
体温変動	Body temperature fluctuation
